fecha,hora,precio_predicho,precio_real,error_absoluto
2025-01-05,20,89.5877,56.7717,32.816
2025-01-05,21,82.8167,56.7717,26.045
2025-01-05,22,69.1984,56.4146,12.7838
2025-01-05,23,63.8453,59.8475,3.9978
2025-01-06,0,57.8585,4.3521,53.5064
2025-01-06,1,54.121,4.3521,49.7689
2025-01-06,2,52.8333,4.3521,48.4812
2025-01-06,3,51.4048,4.3521,47.0527
2025-01-06,4,57.1806,12.3944,44.7862
2025-01-06,5,66.2927,12.3944,53.8983
2025-01-06,6,79.9925,35.1028,44.8897
2025-01-06,7,88.7081,87.5267,1.1814
2025-01-06,8,93.5373,87.5267,6.0106
2025-01-06,9,98.6012,87.5267,11.0745
2025-01-06,10,105.8318,87.5267,18.3051
2025-01-06,11,111.7582,87.5267,24.2315
2025-01-06,12,115.3401,87.5267,27.8134
2025-01-06,13,114.6753,87.5267,27.1486
2025-01-06,14,116.544,87.5267,29.0173
2025-01-06,15,118.074,87.5267,30.5473
2025-01-06,16,122.1988,87.5267,34.6721
2025-01-06,17,120.2771,87.5267,32.7504
2025-01-06,18,121.277,79.4243,41.8527
2025-01-06,19,121.876,79.4243,42.4517
2025-01-06,20,114.2879,79.4243,34.8636
2025-01-06,21,103.0822,79.4243,23.6579
2025-01-06,22,88.9026,60.124,28.7786
2025-01-06,23,77.8349,60.124,17.7109
2025-01-07,0,71.5881,60.1569,11.4312
2025-01-07,1,67.0736,87.4115,20.3379
2025-01-07,2,64.5112,56.7062,7.805
2025-01-07,3,63.0468,56.7062,6.3406
2025-01-07,4,65.7863,56.7062,9.0801
2025-01-07,5,75.1898,56.7062,18.4836
2025-01-07,6,87.8544,56.8479,31.0065
2025-01-07,7,95.0265,87.4145,7.612
2025-01-07,8,99.3292,87.4145,11.9147
2025-01-07,9,101.8261,87.4145,14.4116
2025-01-07,10,106.6383,87.4145,19.2238
2025-01-07,11,110.3713,87.4145,22.9568
2025-01-07,12,112.3251,87.4145,24.9106
2025-01-07,13,110.1457,87.4145,22.7312
2025-01-07,14,115.0317,87.4145,27.6172
2025-01-07,15,118.8126,87.4145,31.3981
2025-01-07,16,119.7808,87.4145,32.3663
2025-01-07,17,119.0408,87.4145,31.6263
2025-01-07,18,120.1192,87.3577,32.7615
2025-01-07,19,118.5557,87.3577,31.198
2025-01-07,20,113.2742,87.3577,25.9165
2025-01-07,21,103.1031,87.3577,15.7454
2025-01-07,22,86.8103,56.7062,30.1041
2025-01-07,23,75.297,60.1569,15.1401
2025-01-08,0,68.4039,60.1616,8.2423
2025-01-08,1,64.4862,56.7107,7.7755
2025-01-08,2,64.0696,56.7107,7.3589
2025-01-08,3,62.3478,56.7107,5.6371
2025-01-08,4,66.6959,56.7107,9.9852
2025-01-08,5,75.1688,56.7107,18.4581
2025-01-08,6,86.6233,87.5625,0.9392
2025-01-08,7,94.7801,87.5625,7.2176
2025-01-08,8,98.5503,87.5625,10.9878
2025-01-08,9,102.8824,87.5625,15.3199
2025-01-08,10,104.9996,87.5625,17.4371
2025-01-08,11,111.0869,87.5625,23.5244
2025-01-08,12,113.4204,87.5625,25.8579
2025-01-08,13,114.2814,87.5625,26.7189
2025-01-08,14,113.0933,87.5625,25.5308
2025-01-08,15,115.8468,87.5625,28.2843
2025-01-08,16,115.9473,87.5625,28.3848
2025-01-08,17,116.3278,87.5625,28.7653
2025-01-08,18,120.5482,87.5273,33.0209
2025-01-08,19,122.3839,122.9357,0.5518
2025-01-08,20,116.0001,122.9357,6.9356
2025-01-08,21,107.0771,87.5273,19.5498
2025-01-08,22,92.3783,56.7107,35.6676
2025-01-08,23,79.1123,60.1616,18.9507
2025-01-09,0,71.0127,7.3258,63.6869
2025-01-09,1,68.0851,7.3258,60.7593
2025-01-09,2,66.9389,7.3258,59.6131
2025-01-09,3,65.8297,7.3258,58.5039
2025-01-09,4,66.982,7.3258,59.6562
2025-01-09,5,73.4873,7.3258,66.1615
2025-01-09,6,87.7257,9.9526,77.7731
2025-01-09,7,97.4638,10.5951,86.8687
2025-01-09,8,104.4588,53.7281,50.7307
2025-01-09,9,109.5728,53.7281,55.8447
2025-01-09,10,110.7289,53.7281,57.0008
2025-01-09,11,114.9367,53.7281,61.2086
2025-01-09,12,115.3096,53.7281,61.5815
2025-01-09,13,114.9573,53.7281,61.2292
2025-01-09,14,115.3449,53.7281,61.6168
2025-01-09,15,117.8172,53.7281,64.0891
2025-01-09,16,121.4471,53.7281,67.719
2025-01-09,17,121.6484,53.7281,67.9203
2025-01-09,18,126.9345,53.5514,73.3831
2025-01-09,19,124.1533,53.5514,70.6019
2025-01-09,20,116.3133,53.5514,62.7619
2025-01-09,21,105.1457,35.6404,69.5053
2025-01-09,22,91.5273,2.5873,88.94
2025-01-09,23,85.3988,2.5873,82.8115
2025-01-10,0,73.1531,2.5903,70.5628
